id,layer,templateId,tags,question,optionA,optionB,optionC,optionD,axes,sensitivity
"L1-L1-10-065-1403f7a8","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「晚睡」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-066-7dc10fe3","L1","L1-10","习惯|提醒","最近这段时间，关于「晚睡」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-063-65443715","L1","L1-10","习惯|提醒","在我们家沟通里，关于「周末睡到中午」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-064-647d6b7c","L1","L1-10","习惯|提醒","关于「晚睡」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-067-b266712f","L1","L1-10","习惯|提醒","在我们家沟通里，关于「晚睡」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-070-bc7341a2","L1","L1-10","习惯|提醒","最近这段时间，关于「作息和家里不一致」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-071-ab5cc916","L1","L1-10","习惯|提醒","在我们家沟通里，关于「作息和家里不一致」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-068-49e23643","L1","L1-10","习惯|提醒","关于「作息和家里不一致」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-069-46ee71cb","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「作息和家里不一致」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-062-5b67bd76","L1","L1-10","习惯|提醒","最近这段时间，关于「周末睡到中午」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-055-74154190","L1","L1-10","习惯|提醒","在我们家沟通里，关于「穿得更随性」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-056-7158181a","L1","L1-10","习惯|提醒","关于「玩手机时间变长」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-053-636413f6","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「穿得更随性」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-054-06bef7c0","L1","L1-10","习惯|提醒","最近这段时间，关于「穿得更随性」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-057-1915fb01","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「玩手机时间变长」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-060-df6d590f","L1","L1-10","习惯|提醒","关于「周末睡到中午」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-061-c2093db2","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「周末睡到中午」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-058-7c14e296","L1","L1-10","习惯|提醒","最近这段时间，关于「玩手机时间变长」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-059-e2ea0e5d","L1","L1-10","习惯|提醒","在我们家沟通里，关于「玩手机时间变长」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-11-000-d69ce244","L1","L1-11","饮食","家里聊到「深夜想吃点东西」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-013-bc9cdfc5","L1","L1-11","饮食","如果只能选一个更贴近的：家里聊到「想跳过某一餐」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-014-3b06efc5","L1","L1-11","饮食","最近这段时间，家里聊到「想跳过某一餐」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-011-967b2e3f","L1","L1-11","饮食","在我们家沟通里，家里聊到「减脂或控制饮食」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-012-606bbde6","L1","L1-11","饮食","家里聊到「想跳过某一餐」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-015-b8dd71b6","L1","L1-11","饮食","在我们家沟通里，家里聊到「想跳过某一餐」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-018-4e395bbb","L1","L1-11","饮食","最近这段时间，家里聊到「想吃辣或重口」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-019-cbeef44f","L1","L1-11","饮食","在我们家沟通里，家里聊到「想吃辣或重口」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-016-4490a2ec","L1","L1-11","饮食","家里聊到「想吃辣或重口」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-017-ee861748","L1","L1-11","饮食","如果只能选一个更贴近的：家里聊到「想吃辣或重口」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-010-cb208944","L1","L1-11","饮食","最近这段时间，家里聊到「减脂或控制饮食」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-003-2a3a01f3","L1","L1-11","饮食","在我们家沟通里，家里聊到「深夜想吃点东西」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-004-4ec9404e","L1","L1-11","饮食","家里聊到「口味突然变了」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-001-1e663af4","L1","L1-11","饮食","如果只能选一个更贴近的：家里聊到「深夜想吃点东西」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-002-d69466ad","L1","L1-11","饮食","最近这段时间，家里聊到「深夜想吃点东西」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-005-e03e5d4e","L1","L1-11","饮食","如果只能选一个更贴近的：家里聊到「口味突然变了」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-008-232c3e1c","L1","L1-11","饮食","家里聊到「减脂或控制饮食」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-009-1bbf537a","L1","L1-11","饮食","如果只能选一个更贴近的：家里聊到「减脂或控制饮食」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
